Feast, Rank, Weekday, Date
Sabbatum infra Hebd IV in Quadragesima, sp, Sat, 2018-03-17 00:00:00
Dominica de Passione, sd1, Sun, 2018-03-18 00:00:00
Feria II infra Hebd de Passione, sp, Mon, 2018-03-19 00:00:00
Feria III infra Hebd de Passione, sp, Tue, 2018-03-20 00:00:00
Feria IV infra Hebd de Passione, sp, Wed, 2018-03-21 00:00:00
Feria V infra Hebd de Passione, sp, Thu, 2018-03-22 00:00:00
Septem Dolorum BMV, dm, Fri, 2018-03-23 00:00:00
Sabbatum infra Hebd de Passione, sp, Sat, 2018-03-24 00:00:00
Dominica in Palmis, sd1, Sun, 2018-03-25 00:00:00
Feria II Majoris Hebd; Feria Priv, sp, Mon, 2018-03-26 00:00:00
Feria III Majoris Hebd; Feria Priv, sp, Tue, 2018-03-27 00:00:00
Feria IV Majoris Hebd; Feria Priv, sp, Wed, 2018-03-28 00:00:00
Feria V in Cœna Domini, d1, Thu, 2018-03-29 00:00:00
Feria VI in Parasceve, d1, Fri, 2018-03-30 00:00:00
Sabbatum Sanctum, d1, Sat, 2018-03-31 00:00:00
Dominica Resurrectionis, d1, Sun, 2018-04-01 00:00:00
Dominica in Albis, sd, Sun, 2018-04-08 00:00:00
Dominica II post Pascha, sd, Sun, 2018-04-15 00:00:00
Dominica III post Pascha, sd, Sun, 2018-04-22 00:00:00
Dominica IV post Pascha, sd, Sun, 2018-04-29 00:00:00
Dominica V post Pascha, sd, Sun, 2018-05-06 00:00:00
Dominica infra Octavam Ascensionis, sd, Sun, 2018-05-13 00:00:00
Dominica Pentecostes, d1, Sun, 2018-05-20 00:00:00
Feria IV Quattuor infra Temporum Pentecostes, d1, Wed, 2018-05-23 00:00:00
Feria VI Quattuor infra Temporum Pentecostes, d1, Fri, 2018-05-25 00:00:00
Sabbato Quattuor infra Temporum Pentecostes, d1, Sat, 2018-05-26 00:00:00
Dominica Sanctissimæ Trinitatis, d1, Sun, 2018-05-27 00:00:00
Sanctissimi Corporis Christi, d1, Thu, 2018-05-31 00:00:00
Dominica II post Pentecosten infra Octavam Corporis Christi, sd, Sun, 2018-06-03 00:00:00
Sacratissimi Cordis Jesu, d1, Fri, 2018-06-08 00:00:00
Dominica III post Pentecosten infra Octavam SSmi Cordis DNJC, sd, Sun, 2018-06-10 00:00:00
Dominica IV post Pentecosten, sd, Sun, 2018-06-17 00:00:00
Dominica V post Pentecosten, sd, Sun, 2018-06-24 00:00:00
Dominica VI post Pentecosten, sd, Sun, 2018-07-01 00:00:00
Dominica VII post Pentecosten, sd, Sun, 2018-07-08 00:00:00
Dominica VIII post Pentecosten, sd, Sun, 2018-07-15 00:00:00
Dominica IX post Pentecosten, sd, Sun, 2018-07-22 00:00:00
Dominica X post Pentecosten, sd, Sun, 2018-07-29 00:00:00
Dominica XI post Pentecosten, sd, Sun, 2018-08-05 00:00:00
Dominica XII post Pentecosten, sd, Sun, 2018-08-12 00:00:00
Dominica XIII post Pentecosten, sd, Sun, 2018-08-19 00:00:00
Dominica XIV post Pentecosten, sd, Sun, 2018-08-26 00:00:00
Dominica XV post Pentecosten, sd, Sun, 2018-09-02 00:00:00
Dominica XVI post Pentecosten, sd, Sun, 2018-09-09 00:00:00
Feria IV Quattuor Temporum Septembris, sd, Wed, 2018-09-12 00:00:00
Feria VI Quattuor Temporum Septembris, sd, Fri, 2018-09-14 00:00:00
Sabbato Quattuor Temporum Septembris, sd, Sat, 2018-09-15 00:00:00
Dominica XVII post Pentecosten, sd, Sun, 2018-09-16 00:00:00
Dominica XVIII post Pentecosten, sd, Sun, 2018-09-23 00:00:00
Dominica XIX post Pentecosten, sd, Sun, 2018-09-30 00:00:00
Dominica XX post Pentecosten, sd, Sun, 2018-10-07 00:00:00
Dominica XXI post Pentecosten, sd, Sun, 2018-10-14 00:00:00
Dominica XXII post Pentecosten, sd, Sun, 2018-10-21 00:00:00
Dominica XXIII post Pentecosten, sd, Sun, 2018-10-28 00:00:00
Dominica XXIV post Pentecosten, sd, Sun, 2018-11-04 00:00:00
Dominica XXV post Pentecosten, sd, Sun, 2018-11-11 00:00:00
Dominica XXVI post Pentecosten, sd, Sun, 2018-11-18 00:00:00
Dominica XXVII post Pentecosten, sd, Sun, 2018-11-25 00:00:00
Dominica XXVIII post Pentecosten, sd, Sun, 2018-12-02 00:00:00
Dominica IV Adventus, sd2, Sun, 2018-12-23 00:00:00
Dominica III Adventus, sd2, Sun, 2018-12-16 00:00:00
Feria IV Quattuor Temporum in Adventu, sp, Wed, 2018-12-19 00:00:00
Feria VI Quattuor Temporum in Adventu, sp, Fri, 2018-12-21 00:00:00
Sabbato Quattuor Temporum in Adventu, sp, Sat, 2018-12-22 00:00:00
Dominica II Adventus, sd2, Sun, 2018-12-09 00:00:00
Dominica I Adventus, sd2, Sun, 2018-12-02 00:00:00
Dominica Infra Octavam Nativitatis, sd, Sun, 2018-12-30 00:00:00
